PlaceName,StateAbbr,CDCHI,domain_cardio,domain_resp,domain_behav
Gulfport,MS,61.9628071002354,1.328050503376265,0.734326768701446,0.8939765194307736
Erie,PA,61.89238607036388,0.8269910096391095,1.5160798936497548,0.6035574576963255
Rockford,IL,61.66027613521475,0.8228975916814808,0.9949111436842154,1.0967642999280398
Gastonia,NC,60.51139540829561,0.6863862247061858,1.320641612412678,0.7488800989908739
Merced,CA,60.478995735159856,0.6980864913256063,0.6691806749557532,1.3841662432468422
Dearborn,MI,60.04350152008427,0.11362807726469752,2.1675408311066793,0.4101209795448638
Jonesboro,AR,59.91405083007245,0.6166009404971241,1.1252033311756005,0.93160794966864
Hemet,CA,59.90182313010913,0.3366353835925952,1.1252033311756005,1.2098848114962868
New Orleans,LA,59.80359508760457,1.435900981426083,0.40859629997298375,0.813660552847559
Milwaukee,WI,59.768287184343116,1.4878639102935658,0.2783041124815987,0.8871136464861031
Philadelphia,PA,59.61827123412129,0.9561467316537994,0.734326768701446,0.9420903562876868
Waukegan,IL,59.606256343389,0.8126633323502203,0.47374239371867594,1.3444988253171397
Columbus,OH,59.567238809398255,0.8875775837382357,1.2554955186669847,0.48244296891016514
Miami,FL,59.44480723668497,0.8479369279708321,0.21315801873590592,1.5475128266690539
Providence,RI,59.28994572837252,0.8424326440881598,0.47374239371867594,1.271045731678596
Charleston,WV,59.26089641999326,0.8122738730871285,1.4509337999040626,0.3200012689065476
Clarksville,TN,59.01461909938885,0.7863375554214301,1.0600572374299082,0.7028022498257975
Indianapolis,IN,58.869192521250035,0.6061318769861732,1.3857877061583703,0.5371934578571005
Schenectady,NY,58.591939769302144,0.3384972013933993,1.320641612412678,0.8316844949752225
Portsmouth,VA,58.53017243209087,1.28640126220233,0.6691806749557532,0.5267110512380535
North Las Vegas,NV,58.40960057065964,0.5373994657755319,1.0600572374299082,0.868184820939846
Beaumont,TX,58.37528605228867,1.3335160454173185,0.40859629997298375,0.7187902042616241
Warner Robins,GA,57.995442979532875,1.0705078334332703,0.8646189561928304,0.4733178874190091
Grand Rapids,MI,57.86475939152706,0.810943768230897,1.0600572374299082,0.5193957365840859
Springfield,MO,57.74278875198829,0.2632660520503558,1.5160798936497548,0.5942061553505207
Victorville,CA,57.498981649138315,0.4491497343862334,0.7994728624471381,1.0912587521112602
Yakima,WA,57.26908591588979,0.39728765194556265,0.9297650499385232,0.9810791116534441
Lexington,KY,57.1792719362954,0.556519126930349,1.320641612412678,0.418567398472074
Columbus,GA,57.096952199143644,1.2237603976329774,0.6691806749557532,0.39141837485325515
Union City,NJ,56.961756326648555,0.5756981310894534,-0.11257244999255629,1.8025626667121213
Cicero,IL,56.89047731330792,0.5732563260351841,-0.047426356246863505,1.7300144564921716
Pawtucket,RI,56.654194768869274,0.34358968369285786,0.9297650499385232,0.9498581126509515
Santa Maria,CA,56.5898975159639,0.21714664734069508,0.5388884874643681,1.4582979994493317
Hialeah,FL,56.39002317812022,0.7184218803229933,-0.3080107312296335,1.7763185265118964
Inglewood,CA,56.22673105282245,1.1296972757157993,-0.047426356246863505,1.0819074497654555
Tulsa,OK,56.154555372743815,0.6425841997651899,0.7994728624471381,0.712153552171602
Richmond,VA,56.08232044792818,1.166666244624417,0.6691806749557532,0.308387758014258
Lakeland,FL,56.0183471563284,0.47023564943731394,1.2554955186669847,0.40966853783556684
Nashville,TN,56.01429058805008,0.6206720161346309,0.9297650499385232,0.5844024112954195
South Gate,CA,55.880042223567386,0.5893951936860081,-0.3080107312296335,1.8349147699878565
Athens,GA,55.76325110313764,0.8735964222296472,0.734326768701446,0.4922467129652666
Decatur,IL,55.635755441364786,0.5981716454898581,0.8646189561928304,0.6197716329868006
Columbia,SC,55.634605314938824,1.1690761748912906,0.6040345812100609,0.30929264143285207
Bridgeport,CT,55.61535458649373,0.7566069855251086,0.5388884874643681,0.7842493206822547
Elizabeth,NJ,55.59282072368712,0.5196545941171908,0.21315801873590592,1.3438201627531945
Fresno,CA,55.563944997840395,0.28827617896536173,0.5388884874643681,1.2454802540423158
St. Joseph,MO,55.39974608842889,0.12780530111135796,1.320641612412678,0.6015214700044886
Scranton,PA,55.24205770748925,0.38440999087426314,1.0600572374299082,0.5837237487314739
Waterbury,CT,55.221216867279935,0.5608953110934863,0.7994728624471381,0.6649445987332827
Roanoke,VA,55.21638937129456,0.6131167191673066,0.9297650499385232,0.4817643063462199
Rock Hill,SC,55.00049731180642,1.2192843874664796,0.6040345812100609,0.17151153564691984
Stockton,CA,54.89686522883704,0.4852404745699778,0.2783041124815987,1.2169739052956055
Oklahoma City,OK,54.89376139413201,0.5525383448289286,0.734326768701446,0.6932247266253444
Dallas,TX,54.76518699450116,0.9940240629172329,0.1480119249902137,0.8202972049375814
Hesperia,CA,54.502398318950384,0.11684326649745286,0.8646189561928304,0.9445787856888206
Rialto,CA,54.087789055684794,0.5098407445808197,0.21315801873590592,1.145783020203547
Baytown,TX,53.997849993551,0.7654746551206425,0.40859629997298375,0.6822898782970006
Bryan,TX,53.946260527508564,0.8225911504493242,0.34345020622729094,0.6831947617155945
Pompano Beach,FL,53.87991924855708,0.15806984091437462,1.1252033311756005,0.5568009459673036
New Haven,CT,53.65936365744842,0.9942037257338076,0.34345020622729094,0.4719605622911184
Huntsville,AL,53.4178573003677,0.6490195967737281,0.7994728624471381,0.3277690252698123
Salinas,CA,53.33330925034049,0.3251544458869661,0.0828658312445215,1.356564777918726
Greenville,NC,53.11037018248751,0.8935564945233155,0.6691806749557532,0.1710590939376228
Moreno Valley,CA,53.00162762983684,0.5925415074472014,0.0828658312445215,1.0433711361089955
Lafayette,LA,52.88299531599598,0.7568313329819277,0.40859629997298375,0.5369672370024521
Kansas City,MO,52.64022207529705,0.6358693139367176,0.6691806749557532,0.3638169095251386
El Monte,CA,52.512259830916086,0.24563146311824546,-0.3080107312296335,1.7135740603470475
Lafayette,IN,52.395492290939366,0.11703707187340118,1.2554955186669847,0.2625361297038301
New Britain,CT,52.39330027435543,0.48441287328397414,0.6040345812100609,0.5463185393482561
Indio,CA,52.38389587061663,0.3505203087664727,0.0828658312445215,1.2000810674411853
Longview,TX,52.27730269371554,0.7388680566653935,0.40859629997298375,0.4712818997271728
High Point,NC,52.20338638828499,0.6195297738557225,0.7994728624471381,0.18953547777458335
Mount Vernon,NY,52.057146030242116,1.0426404140442787,0.0828658312445215,0.4628354807999624
Wyoming,MI,51.956710670416,0.2718509554403808,0.9949111436842154,0.3077090954503125
Fort Wayne,IN,51.922863552632826,0.3317307638704599,0.9949111436842154,0.2431548624482759
